"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"25089",1401,"2018-10-04 17:02:27.6590","2018-10-04 17:25:48.9970",136,"ID Building West",42.344796,-71.031614,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2970,"Subscriber",1993,2
"25235",309,"2018-10-04 17:09:52.2570","2018-10-04 17:15:01.7970",16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2902,"Customer",1969,0
"25420",825,"2018-10-04 17:19:14.4440","2018-10-04 17:33:00.3410",218,"Watermark Seaport - Boston Wharf Rd at Seaport Blvd",42.3515860011985,-71.0456925630569,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3149,"Subscriber",1986,1
"25637",457,"2018-10-04 17:31:19.8710","2018-10-04 17:38:57.0840",152,"Ink Block - Harrison Ave at Herald St",42.345901,-71.063187,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2814,"Subscriber",1988,1
"25725",908,"2018-10-04 17:36:13.0200","2018-10-04 17:51:21.2740",22,"South Station - 700 Atlantic Ave",42.352175,-71.055547,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3541,"Subscriber",1961,1
"25815",620,"2018-10-04 17:40:40.9860","2018-10-04 17:51:01.9630",59,"Chinatown Gate Plaza",42.351356,-71.059367,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2851,"Subscriber",1990,1
"26072",526,"2018-10-04 17:54:45.6480","2018-10-04 18:03:31.7090",152,"Ink Block - Harrison Ave at Herald St",42.345901,-71.063187,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3343,"Subscriber",1990,1
"26158",552,"2018-10-04 18:00:50.6940","2018-10-04 18:10:03.0610",42,"Boylston St at Arlington St",42.3520426222971,-71.0704493522644,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3492,"Subscriber",1982,1
"26204",373,"2018-10-04 18:03:14.7060","2018-10-04 18:09:28.1670",55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3829,"Subscriber",1964,1
"26972",663,"2018-10-04 19:02:15.5890","2018-10-04 19:13:18.8630",32,"Landmark Center - Brookline Ave at Park Dr",42.3451942894409,-71.1016970872879,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3883,"Subscriber",1967,1
"27173",1302,"2018-10-04 19:24:26.6270","2018-10-04 19:46:09.0950",193,"Brookline Town Hall",42.3337647262349,-71.1204644666032,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3881,"Subscriber",1992,2
"27242",681,"2018-10-04 19:32:04.6260","2018-10-04 19:43:26.2440",23,"Boston City Hall - 28 State St",42.35892,-71.057629,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3354,"Subscriber",1994,1
"27263",679,"2018-10-04 19:35:41.0050","2018-10-04 19:47:00.2100",150,"State Street at Channel Center",42.344137,-71.052608,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3821,"Subscriber",1988,1
"28266",610,"2018-10-04 23:20:13.4490","2018-10-04 23:30:24.0190",302,"Harrison Ave at Bennet St (former)",42.3493102175903,-71.0621050000191,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3941,"Subscriber",1991,2
"28296",757,"2018-10-04 23:33:34.1750","2018-10-04 23:46:11.9970",14,"HMS/HSPH - Avenue Louis Pasteur at Longwood Ave",42.3374174845973,-71.1028611660004,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3688,"Subscriber",1990,2
